ID,COUNTY_ID,COUNTY,TOTAL_POPULATION,PER_TOTAL_POPULATION,POPU_DENSITY,HH_MEDIAN_AGE,DI_RACE_WH,DI_RACE_AF,DI_RACE_AI_AN,DI_RACE_ASIAN,DI_RACE_NW,DI_RACE_SOM,DI_NOT_HISP,DI_PERC_NOT_HISP,WF_OCCUP_1,WF_OCCUP_2,WF_OCCUP_3,WF_OCCUP_4,WF_OCCUP_5,WF_IND_1,WF_IND_2,WF_IND_3,WF_IND_4,WF_IND_5,WF_IND_6,WF_IND_7,WF_IND_8,WF_IND_9,WF_IND_10,WF_IND_11,WF_IND_12,WF_IND_13,WF_CSW_1,WF_CSW_2,WF_CSW_3,WF_CSW_4,INC_MD_HOUSE,INC_PER_CAP,HH_UD_18,HH_OVR_65,HH_AVG_SIZE,WF_OVR_25,WF_PER_OVR_25,DI_BR_DF,DI_FB,DI_PER_FB,DI_FB_2010,DI_FB_EU,DI_FB_A,DI_FB_AF,DI_FB_OC,DI_FB_LA,DI_FB_NA,DI_NON_ENG,HH_OW_OC,HH_PER_OW_OC,INC_HM_VALUE
0500000US06025,6025,"Imperial County, California",177026,177026,41.8,31.9,120826,5205,2477,2623,152,37347,32936,13,13319,13725,14376,8598,7820,5643,3067,3252,1698,7728,4054,645,1993,3605,13666,3743,2370,6374,66.5,27.8,5.1,0.5,41772,16409,18838,28.1,3.55,9993,9.4,15541,57805,32.7,2516,215,1883,80,24,55346,257,120924,46952,83.1,26135
0500000US12061,12061,"Indian River County, Florida",140918,140918,274.5,50.2,121670,12735,280,1655,10,2108,124580,76.7,16751,11924,14047,5659,4403,1329,3764,2602,1563,7734,2028,759,3852,6324,11188,6172,3211,2258,80.5,13,6.5,0.1,44645,31089,10734,47,2.43,17760,16.8,79210,15127,10.7,953,3185,1441,161,26,9302,1012,19257,57342,74.7,42565
0500000US26065,26065,"Ingham County, Michigan",282562,282562,505.1,31.4,214888,31379,1222,15309,66,5108,261432,71.7,51684,26152,31360,6641,15419,1148,4108,12773,1990,13758,4482,2627,9281,11972,38932,14664,6384,9137,75.2,19.7,5,0.1,45278,25010,27574,21.2,2.4,33736,20.1,53575,24435,8.6,6652,2234,14395,2435,156,4286,929,31627,109806,90.3,63961
0500000US37097,37097,"Iredell County, North Carolina",162999,162999,277.8,39.6,132659,20064,779,3511,39,3604,151466,77.1,24544,11525,17119,7414,12774,735,4628,13058,2112,11109,3684,964,3729,6635,14371,7069,3381,1901,84.4,10.3,5,0.2,51889,27125,19101,25.3,2.68,18908,17.3,61045,9460,5.8,909,1062,2299,141,33,5463,462,14008,60277,86.7,43904
0500000US26075,26075,"Jackson County, Michigan",159927,159927,228.4,40.2,140096,13562,742,1052,69,787,154824,85.4,19133,12880,16161,5368,11557,513,3435,12268,1551,7930,3142,877,3177,5208,14961,5475,3300,3262,82.9,11.5,5.4,0.2,45452,22879,16486,27.8,2.5,14172,13,26174,2714,1.7,263,646,960,108,0,850,150,4910,60485,87.4,43916
0500000US28059,28059,"Jackson County, Mississippi",140194,140194,193.2,37.6,102083,30673,381,3030,0,1531,133107,69.1,18180,11849,12976,7858,8088,872,3729,11289,886,6527,2451,764,2533,3636,12240,8623,2374,3027,77.6,17.5,4.8,0.1,49145,24162,13335,25.6,2.76,11675,12.6,49114,5112,3.6,481,745,2333,24,34,1879,97,8878,50388,83.1,35809
0500000US29095,29095,"Jackson County, Missouri",678167,678167,1115.3,36.4,452199,161305,3229,11706,1548,26829,620195,63,115330,60378,84597,23486,39056,1182,18518,27935,8940,36610,16831,8855,26729,39417,74651,31737,16127,15315,82.2,12.5,5.1,0.1,46917,26328,72890,23.2,2.45,79538,17.6,226832,38320,5.7,3076,2992,9654,3899,688,20300,787,56164,271965,86.9,163850
0500000US41029,41029,"Jackson County, Oregon",206583,206583,73,42.7,189271,1476,1647,2064,646,3267,182977,82.8,27671,18277,22318,7560,10378,2638,4429,7153,1985,12120,3679,1861,4326,7133,22708,8888,5234,4050,75.5,13.9,10.5,0.1,44086,24460,20414,32.8,2.44,22643,15.6,111344,11704,5.7,311,2162,1616,132,107,7006,681,18281,82977,90.9,51817
0500000US29097,29097,"Jasper County, Missouri",116996,116996,183.9,35.4,106486,2647,1460,1076,336,1341,108588,85.5,15625,10056,13905,5129,9661,869,3096,9440,1505,7532,2777,1324,2233,3713,12014,5208,3227,1438,82.4,10.3,7.1,0.1,40914,21904,13893,24.8,2.53,11150,14.8,42492,4728,4,382,494,862,43,110,3088,131,7843,45236,88.9,29351
0500000US01073,1073,"Jefferson County, Alabama",658834,658834,592.5,37.4,349052,278587,1568,10020,117,12637,633718,51.2,111504,48388,75268,21892,33396,2051,16215,24524,9135,32150,15703,6714,25616,30278,74357,25823,15911,11971,80.5,14.6,4.8,0.2,45239,26896,69170,25.1,2.48,81626,18.4,130145,25944,3.9,2392,1880,8254,2018,42,13196,554,36079,259397,85.7,165697
